FIPS,County,Labor Force, Employed, Unemployed,Unemployment Rate,Median Household Income,Med HH Income Percent of State Total,Annual Income,Votes Cast for President,"Votes Cast for President, Democratic Party, Percent","Votes Cast for President, Republican Party, Percent","Votes Cast for President, Libertarian Party, Percent",Voting History,"Voter Turnout, Black Female, Percent","Voter Turnout, Black Male, Percent","Voter Turnout, White Female, Percent","Voter Turnout, White Male, Percent","Voter Turnout, Asian, Percent","Voter Turnout, Hispanic, Percent","Voter Turnout, Other Race, Percent",Male Population,Female Population
13001,Appling County ,9061,8688,373,4.1,42781,73.00,35514,8341,21.33,78.24,0.31,8403,9.58,5.97,42.06,36.24,0.42,1.30,4.44,"9,151","9,153"
13003,Atkinson County ,4106,3966,140,3.4,36779,62.70,31542,3155,26.15,72.90,0.41,3167,11.30,7.39,39.34,33.53,0.09,5.08,3.25,"3,992","4,110"
13005,Bacon County ,4536,4348,188,4.1,38775,66.10,33393,4668,13.39,86.08,0.28,4674,5.76,2.82,46.30,39.47,0.24,1.03,4.39,"5,723","5,471"
13007,Baker County ,1060,996,64,6.0,38288,65.30,41323,1555,41.93,57.68,0.13,1561,23.13,15.18,28.89,28.19,0.64,0.64,3.33,"1,525","1,484"
13009,Baldwin County ,17789,16662,1127,6.3,42727,72.90,34128,18251,50.08,48.78,0.59,18342,23.50,13.98,30.54,26.63,0.81,0.78,3.76,"21,976","22,641"
13011,Banks County ,9435,9084,351,3.7,55384,94.50,35151,8801,10.59,88.57,0.51,8817,0.81,0.73,46.90,43.86,0.69,1.79,5.23,"9,577","9,897"
13013,Barrow County ,38436,36700,1736,4.5,61413,104.70,37436,37921,27.57,70.68,0.81,38073,6.58,4.25,40.04,34.99,1.59,4.63,7.92,"43,251","41,805"
13015,Bartow County ,48188,45696,2492,5.2,57409,97.90,39505,50467,23.96,74.65,0.54,50643,5.04,3.28,42.54,38.18,0.65,2.62,7.69,"54,928","53,846"
13017,Ben Hill County ,5225,4896,329,6.3,35020,59.70,33228,6560,36.46,62.65,0.49,6596,20.07,10.22,34.98,29.76,0.55,1.23,3.20,"8,789","7,882"
13019,Berrien County ,7153,6806,347,4.9,39412,67.20,32935,7743,16.39,82.90,0.32,7772,5.29,3.11,45.11,41.16,0.26,1.09,3.98,"9,748","9,564"
13021,Bibb County ,65883,60822,5061,7.7,41390,70.60,42696,70802,61.39,37.55,0.39,71212,30.31,17.93,24.21,20.49,1.23,0.93,4.90,"80,880","71,669"
13023,Bleckley County ,4282,4018,264,6.2,46019,78.50,35272,5706,22.98,75.85,0.65,5730,10.38,5.81,41.92,37.89,0.54,0.51,2.95,"6,665","6,113"
13025,Brantley County ,6345,6014,331,5.2,41874,71.40,28248,7746,9.02,90.25,0.27,7725,1.39,0.78,49.41,44.00,0.16,0.41,3.86,"9,736","9,608"
13027,Brooks County ,6716,6366,350,5.2,36354,62.00,37655,7100,39.30,60.00,0.35,7105,19.01,11.50,32.88,29.64,0.34,1.25,5.38,"7,936","7,525"
13029,Bryan County ,17416,16548,868,5.0,79658,135.90,53853,21340,31.58,66.75,0.83,21288,7.39,5.47,38.82,34.33,1.48,3.00,9.52,"20,532","19,911"
13031,Bulloch County ,36576,34421,2155,5.9,43766,74.60,32724,30084,37.37,61.12,0.58,30226,12.59,7.54,37.14,32.91,0.78,1.18,7.86,"41,022","39,570"
