FIPS,County,LaborForce, Employed, Unemployed,UnemploymentRate,MedianIncome,MedianIncomePercent,AnnualIncome,TotalVotes,TotalVotes_Democratic,TotalVotes_Republican,TotalVotes_Libertarian,VoterTurnout_BlackFemale,VoterTurnout_BlackMale,VoterTurnout_WhiteFemale,VoterTurnout_WhiteMale,VoterTurnout_Asian,VoterTurnout_Hispanic,VoterTurnout_OtherRace,Male,Female,Not_HS_Graduate,HS_Graduate,Some_College,College_Graduate
13001,Appling  ,9061,8688,373,4.1,42781,73,35514,8341,21.33,78.24,0.31,9.58,5.97,42.06,36.24,0.42,1.3,4.44,9151,9153,9.83,38.72,26.38,31.3
13003,Atkinson  ,4106,3966,140,3.4,36779,62.7,31542,3155,26.15,72.9,0.41,11.3,7.39,39.34,33.53,0.09,5.08,3.25,3992,4110,12.23,34.71,20.27,9.8
13005,Bacon  ,4536,4348,188,4.1,38775,66.1,33393,4668,13.39,86.08,0.28,5.76,2.82,46.3,39.47,0.24,1.03,4.39,5723,5471,10.46,42.37,29.25,12.2
13007,Baker  ,1060,996,64,6,38288,65.3,41323,1555,41.93,57.68,0.13,23.13,15.18,28.89,28.19,0.64,0.64,3.33,1525,1484,12.89,37.88,29.84,10.5
13009,Baldwin  ,17789,16662,1127,6.3,42727,72.9,34128,18251,50.08,48.78,0.59,23.5,13.98,30.54,26.63,0.81,0.78,3.76,21976,22641,23.27,35.05,27.47,12.9
13011,Banks  ,9435,9084,351,3.7,55384,94.5,35151,8801,10.59,88.57,0.51,0.81,0.73,46.9,43.86,0.69,1.79,5.23,9577,9897,13.4,38.02,24.47,23.3
13013,Barrow  ,38436,36700,1736,4.5,61413,104.7,37436,37921,27.57,70.68,0.81,6.58,4.25,40.04,34.99,1.59,4.63,7.92,43251,41805,18.99,34.1,31.45,13.4
13015,Bartow  ,48188,45696,2492,5.2,57409,97.9,39505,50467,23.96,74.65,0.54,5.04,3.28,42.54,38.18,0.65,2.62,7.69,54928,53846,18.64,33.4,31.59,19
13017,Ben Hill  ,5225,4896,329,6.3,35020,59.7,33228,6560,36.46,62.65,0.49,20.07,10.22,34.98,29.76,0.55,1.23,3.2,8789,7882,11.24,45.26,27.02,18.6
13019,Berrien  ,7153,6806,347,4.9,39412,67.2,32935,7743,16.39,82.9,0.32,5.29,3.11,45.11,41.16,0.26,1.09,3.98,9748,9564,11.45,42.42,25.16,11.2
13021,Bibb  ,65883,60822,5061,7.7,41390,70.6,42696,70802,61.39,37.55,0.39,30.31,17.93,24.21,20.49,1.23,0.93,4.9,80880,71669,25.39,30.49,30.11,11.4
13023,Bleckley  ,4282,4018,264,6.2,46019,78.5,35272,5706,22.98,75.85,0.65,10.38,5.81,41.92,37.89,0.54,0.51,2.95,6665,6113,18.74,40.91,28.91,25.4
13025,Brantley  ,6345,6014,331,5.2,41874,71.4,28248,7746,9.02,90.25,0.27,1.39,0.78,49.41,44,0.16,0.41,3.86,9736,9608,8.86,44.57,25.42,18.7
13027,Brooks  ,6716,6366,350,5.2,36354,62,37655,7100,39.3,60,0.35,19.01,11.5,32.88,29.64,0.34,1.25,5.38,7936,7525,17.76,35.02,32.35,8.9
13029,Bryan  ,17416,16548,868,5,79658,135.9,53853,21340,31.58,66.75,0.83,7.39,5.47,38.82,34.33,1.48,3,9.52,20532,19911,33.14,24.3,34.2,17.8
13031,Bulloch  ,36576,34421,2155,5.9,43766,74.6,32724,30084,37.37,61.12,0.58,12.59,7.54,37.14,32.91,0.78,1.18,7.86,41022,39570,26.96,27.24,33.16,33.1
13033,Burke  ,8521,7940,581,6.8,42785,73,38481,10684,48.76,50.54,0.34,26.21,16.06,26.7,24.86,0.3,0.68,5.18,11641,10666,13.24,38.32,28.52,27
